,Unnamed: 0,ratings,reviews,Whistleblower,sentiment
0,0,5,"I opened and used immediately! Easy read instructions. It works very well. Be sure to move across your face quickly and do not let it suction one spot for too long a redness will occur!!! It is best to use immediately after you wash your face, especially after a shower when skin is soft and moist and pores are still open. I wish I had this during my teen years!! Highly recommended!!! I couldn't believe what came out of my nose only (see pictures)! Gross but so worth it!!!I have recommended this product to my family and friends! I am very satisfied with the",0,1
1,1,5,"Okay so I bought this and I was expecting the worst. To my dismay I was totally wrong! It was already charged and ready to go. I should say that before I did this I placed a hot towel on my face for about 5 minutes. Anyway, I don’t know how anyone could use this on any setting other then the first because the suction is very strong! Not unbearable but perfect!! I did my nose and chin and the junk that came out was SO gross! I didn’t use on my entire face because I don’t see the point in it other then my problem areas. Anyway... I love this product and want to purchase one for my son as well. Or maybe for anyone I know lol. If you are on the fence about this like I was just DO IT!! My skin is also so soft after use. Absolutely loooooove this product!",0,1
2,2,5,"I love using this it’s really good, it took out so many white heads and black heads out the first use! (It was too gross to post a photo ) what I did was use a hot towel on my face for 5-10 minutes to open my pores and that’s when I get better results ! My nose is looking way better not ! It’s way better than the masks I will use !!! Try this !! Don’t leave it on just one spot move it around slowly I do it down my nose and move my way up and wow so much comes out !! I recommend this !!!",0,1
3,3,5,"I honestly cant run out of great things to say about this! This blackhead remover works WONDERS I use it about once or twice a week & absolutely love it. It works very well, and I have seen a size reduction in my pores since using it for the past few weeks. I highly recommend this blackhead remover and would go as far to say this might be a great stocking stuffers for teens!",0,1
4,4,5,"This device works great! I have used it several times on my T Zone and have noticed a great improvement and decongestion of my pores. I also appreciate the several different sized heads, as it helps me achieve better results depending on where I am using the device. You can also choose what level of suction you want, which makes it easier on my sensitive skin. Great Product!",0,1
5,5,5,"It actually works, I could see the gunk that it sucked out in the nozzle. Gross but true. Just be sure to constantly keep moving, I accidentally gave myself some bruising...",0,1
6,6,5,"Never used a machine like this before until I ordered this. Was pleasantly surprised, has different levels of suction from weak to pretty strong, easy to use. Remember to open your pores up a little beforehand to make it easier to remove black heads by washing with hot water or letting a hot wet towel rest over your face for a couple minutes.",0,1
7,7,5,"I was skeptical this product would really work, but boy was I wrong! I’ve struggled with acne my entire life and wish I would have found this sooner. The amount of oil/debris I got out of my pores in my T-zone was incredible. I immediately noticed smaller pores and felt like my skin was smoother. Do make sure you move the device relatively quickly across your face or you will get suction bruises! Great quality and comes in a nice, sturdy box.",0,1
8,8,5,I just got this today as I’m writing this. Used it before I took a shower 30 minutes ago and it worked magnificent!! I can feel and tell the difference and honestly I thought this was going to be another trash product that I was going to try for my acne that I’ve had since freshman year in high school! And I’m 19 years old now and I’m telling ALL THE MOMS AND PARENTS that you absolutely have to get this for your kids if they have acne because I think it’s perfect and I’ve only used it one time!! AMAZING product and I would recommend this over anything else! 20 out of 10 in my book!,0,1
9,9,5,"Does exactly what it says it will do as far as the pore cleanser. I won't post pictures because it's pretty disgusting, but it actually works. I was pretty skeptical, but I've been looking at these products for 8 months and decided to give it a shot. I haven't used it for anything else, but I'm super impressed.",0,1
10,10,5,"I opened and used immediately! Easy read instructions. It works very well. Be sure to move across your face quickly and do not let it suction one spot for too long a redness will occur!!! It is best to use immediately after you wash your face, especially after a shower when skin is soft and moist and pores are still open. I wish I had this during my teen years!! Highly recommended!!! I couldn't believe what came out of my nose only (see pictures)! Gross but so worth it!!!I have recommended this product to my family and friends! I am very satisfied with the",0,1
11,11,5,"Okay so I bought this and I was expecting the worst. To my dismay I was totally wrong! It was already charged and ready to go. I should say that before I did this I placed a hot towel on my face for about 5 minutes. Anyway, I don’t know how anyone could use this on any setting other then the first because the suction is very strong! Not unbearable but perfect!! I did my nose and chin and the junk that came out was SO gross! I didn’t use on my entire face because I don’t see the point in it other then my problem areas. Anyway... I love this product and want to purchase one for my son as well. Or maybe for anyone I know lol. If you are on the fence about this like I was just DO IT!! My skin is also so soft after use. Absolutely loooooove this product!",0,1
12,12,5,"I love using this it’s really good, it took out so many white heads and black heads out the first use! (It was too gross to post a photo ) what I did was use a hot towel on my face for 5-10 minutes to open my pores and that’s when I get better results ! My nose is looking way better not ! It’s way better than the masks I will use !!! Try this !! Don’t leave it on just one spot move it around slowly I do it down my nose and move my way up and wow so much comes out !! I recommend this !!!",0,1
13,13,5,"I honestly cant run out of great things to say about this! This blackhead remover works WONDERS I use it about once or twice a week & absolutely love it. It works very well, and I have seen a size reduction in my pores since using it for the past few weeks. I highly recommend this blackhead remover and would go as far to say this might be a great stocking stuffers for teens!",0,1
14,14,5,"This device works great! I have used it several times on my T Zone and have noticed a great improvement and decongestion of my pores. I also appreciate the several different sized heads, as it helps me achieve better results depending on where I am using the device. You can also choose what level of suction you want, which makes it easier on my sensitive skin. Great Product!",0,1
15,15,5,"It actually works, I could see the gunk that it sucked out in the nozzle. Gross but true. Just be sure to constantly keep moving, I accidentally gave myself some bruising...",0,1
16,16,5,"Never used a machine like this before until I ordered this. Was pleasantly surprised, has different levels of suction from weak to pretty strong, easy to use. Remember to open your pores up a little beforehand to make it easier to remove black heads by washing with hot water or letting a hot wet towel rest over your face for a couple minutes.",0,1
17,17,5,"I was skeptical this product would really work, but boy was I wrong! I’ve struggled with acne my entire life and wish I would have found this sooner. The amount of oil/debris I got out of my pores in my T-zone was incredible. I immediately noticed smaller pores and felt like my skin was smoother. Do make sure you move the device relatively quickly across your face or you will get suction bruises! Great quality and comes in a nice, sturdy box.",0,1
18,18,5,I just got this today as I’m writing this. Used it before I took a shower 30 minutes ago and it worked magnificent!! I can feel and tell the difference and honestly I thought this was going to be another trash product that I was going to try for my acne that I’ve had since freshman year in high school! And I’m 19 years old now and I’m telling ALL THE MOMS AND PARENTS that you absolutely have to get this for your kids if they have acne because I think it’s perfect and I’ve only used it one time!! AMAZING product and I would recommend this over anything else! 20 out of 10 in my book!,0,1
19,19,5,"Does exactly what it says it will do as far as the pore cleanser. I won't post pictures because it's pretty disgusting, but it actually works. I was pretty skeptical, but I've been looking at these products for 8 months and decided to give it a shot. I haven't used it for anything else, but I'm super impressed.",0,1
20,20,5,"I was really skeptical about this because I've seen the ad on facebook a million times. Thought it was just a run for money like usual. But I was wrong!!! I used this as soon as it came in the mail. I took a shower to open up my pores and then did what the instructions said, and oh my goodness!! The crap that came out of my nose was insane. I've always had a huge problem with blackheads, especially on my nose!!!! My nose has never felt smoother and I can already see the difference in the color of my pores. My husband used it as well and it actually bruised his nose slightly and not ""a lot"" came out, but I think that's only because he didn't steam his face long enough to open his pores. I definitely recommend taking a shower first before using. I highly recommend this product for blackheads. As far as acne goes... I have a lot of open acne sores and it kind of hurts to go over them, so I'm not too sure how well it works for acne itself. But for the nose, it's really good!",0,1
21,21,5,This product works super great for a home spa product!,0,1
22,22,4,"I just received this blackhead remover today. Great packing, nothing broken. Very strong suction (but adjustable), great instruction book which covered all the questions I had- how long to leave on skin, where to begin on face and which direction to pull toward and what each adapter suction was for. Basically before care and aftercare instructions. It will leave some redness and tingling to skin which is understandable because of blood circulation but they also inform you that it will go away from half an hour to 24 hours. Depending on your skin. You are not to use it more that 5 minutes on your face at a time and should use only twice a week. Overall I love this new facial gadget. Although it did not remove the deeper blackheads on the first time it did however, bring them to the surface. I didn’t want to continue to suction as I could see the redness on my face and didn’t want to make it worse. You can take them out manually if they are that superficial or wait until the next use to get them out. But for the most part it removed a lot of whiteheads that were clogging my pores and left my face feeling lighter and smoother after one use. But again some of use may have more blackheads/white heads and acne than others. So results will vary I’m sure. It also comes with a battery charger (cord). The only reason I didn’t give this 5 stars is because of the bigger blackheads I was unable to remove on the first time. But for the price and great packaging and extra items it has I would definetly recommend!",0,1
23,23,5,The blackhead remover vacuum arrived beautifully packaged in a nice box with the 3 extra attachment heads presented along with the usb charging cable. It powered up immediately of the box to my surprise so I was able to use it right away. Being slightly nervous about the suction power I triedIt first on the back of my head to see what it felt like. It was very easy to use and after one swipe on the hand I was ready to begin. Following the instructions included made the process simple and without complications. I chose a middle setting because the higher levels seems a little too strong for my skin. When I was done I removed the head and rinsed it under the sink to clean it and let it air dry for the next use. Very useful tool to have and will get a lot of use.,0,1
24,24,5,"Pros:- Nice professional packaging- Simple to use, make sure to read the instructions! Prevent yourself from getting a Hickey/bruised spot!- Powerful suction- Extracts oils and exfoliates skinCons- It may not extract the full blackhead, but parts of it does extract out.Tips: Don't forget to open up your pores with facial steam, warm towel or simply while taking a shower wash face with hot water. Don't let the suction stay in one spot too long, it's powerful and move it around.",0,1
25,25,5,I have always wanted a suction cleaner and I finally took the plunge! Poppyo has great suction power and I am already seeing noticeable changes after one use.I am excited to see how continue use of the product effects my skin and I hope to update my review with positive results.,0,1
26,26,3,"I like how there are different suction sizes and different suction settings. I was looking for a product to remove blackheads, specifically on the sides of my nose. I think it worked to remove a few, but it was difficult to use in the crevices on the sides of my nose and not very effective. I tried using more suction power and didn’t have much luck and it hurt a bit. I could only use the lowest and second to lowest setting without it hurting.",0,0
27,27,5,I love this productIt really worksIve always thought I cleaned my face properly For the most part I have a really good skin .after using this product my skin felt so soft I had a glow .. I do recommend buying a face streamer .. it will open ur pores and the suction works better,0,1
