,rating,reviews,Whistleblower ,sentiment
0,5,"This blackhead mask is very easy to be put on the nose and cheek. You can use about 10-15 times with this bottle of blackhead mask. You don't need a lot to be put on your nose because it spreads very easy. You can wait 10-15 minutes. When you peel it off, please peel it slowly so the blackheads can be taken out. After using the mask , my nose becomes very soft. After peeling it off, you can find many blackhead mask. I recommend this and it is very simple and easy!",0,1
1,5,"That is actually a good product, my fair and honest review: I tried both the thin and thick layer, both work, the thicker works personally better for my face (cause of stubborn blackheads), in all easy to remove, has a very nice scent and I would recommend!",0,1
2,5,"I love blakchead mask. I use my hand to apply it and it feels a little bit messy. I also apply very thick. My nose has quite much blackheads. It feels cool when apply it. It feels very nice on the skin. I did this first thing in the morning. I feel really awake. I have very sensitive skin. After 15 minutes ,I try to peel it off. It doesn't really hurt that much. My skin feel super super smooth after using this product.",0,1
3,5,Love this product!! For the price I would buy it again. Even had my BF do it too! My skin feels so soft and smooth! Lots of blackheads out and dead skin. Highly recommend!,0,1
4,5,"I can always appreciate a peel off mask that does just that peels off easily! It took care of some of my blackheads and my dead skin. I did follow up with some toner to remove just tiny little pieces of residue and to tighten after use as recommended! It initially feels very fresh and tingly it takes about 10 or so minutes to dry. Just as described very happy with the results my face feels smooth, refreshed and resurfaced! I'm not entirely sure how often I should apply a mask but its definitely going to be part of my regimen.",0,1
5,5,"This product helped cleared out the dirt in my skin well! While it took a while to dry and peel, it's worth the results! This product along with a skin scrub makes for a great combination!",0,1
6,5,Went on nicely....could see how it can pull out black heads.,0,1
7,5,I love the consistency and the scent! So satisfying to peel off and it leaves my skin so smooth! I love it!!!,0,1
8,5,"I've discovered this that it is such a great use on cleansing out pores. Would definitely purchase this again.It is such a great product with an amazing results! After using it, it left my face and skin feel super smooth and softer than my face before. Pretty amazing!Just like what I thought, I am absolutely in love this product! It works accordingly as its described. I have now used it twice and now, I can see that there is a complete difference in my complexion, it works really wellas I pulled it out it leaves my skin softer and smoother now. Most of the blackheads are removed! Thank you on creating this!A very nice mask that does what as it advertised. Very effective, only complain is that. It is smaller than you think. But otherwise, it is a very good product!",0,1
9,5,Great product easy to apply and cleaned my pores. After peeling my face was soft and refreshed. Would definitely purchase again.,0,1
10,5,"This blackhead mask is very easy to be put on the nose and cheek. You can use about 10-15 times with this bottle of blackhead mask. You don't need a lot to be put on your nose because it spreads very easy. You can wait 10-15 minutes. When you peel it off, please peel it slowly so the blackheads can be taken out. After using the mask , my nose becomes very soft. After peeling it off, you can find many blackhead mask. I recommend this and it is very simple and easy!",0,1
11,5,"That is actually a good product, my fair and honest review: I tried both the thin and thick layer, both work, the thicker works personally better for my face (cause of stubborn blackheads), in all easy to remove, has a very nice scent and I would recommend!",0,1
12,5,"I love blakchead mask. I use my hand to apply it and it feels a little bit messy. I also apply very thick. My nose has quite much blackheads. It feels cool when apply it. It feels very nice on the skin. I did this first thing in the morning. I feel really awake. I have very sensitive skin. After 15 minutes ,I try to peel it off. It doesn't really hurt that much. My skin feel super super smooth after using this product.",0,1
13,5,Love this product!! For the price I would buy it again. Even had my BF do it too! My skin feels so soft and smooth! Lots of blackheads out and dead skin. Highly recommend!,0,1
14,5,"I can always appreciate a peel off mask that does just that peels off easily! It took care of some of my blackheads and my dead skin. I did follow up with some toner to remove just tiny little pieces of residue and to tighten after use as recommended! It initially feels very fresh and tingly it takes about 10 or so minutes to dry. Just as described very happy with the results my face feels smooth, refreshed and resurfaced! I'm not entirely sure how often I should apply a mask but its definitely going to be part of my regimen.",0,1
15,5,"This product helped cleared out the dirt in my skin well! While it took a while to dry and peel, it's worth the results! This product along with a skin scrub makes for a great combination!",0,1
16,5,Went on nicely....could see how it can pull out black heads.,0,1
17,5,I love the consistency and the scent! So satisfying to peel off and it leaves my skin so smooth! I love it!!!,0,1
18,5,"I've discovered this that it is such a great use on cleansing out pores. Would definitely purchase this again.It is such a great product with an amazing results! After using it, it left my face and skin feel super smooth and softer than my face before. Pretty amazing!Just like what I thought, I am absolutely in love this product! It works accordingly as its described. I have now used it twice and now, I can see that there is a complete difference in my complexion, it works really wellas I pulled it out it leaves my skin softer and smoother now. Most of the blackheads are removed! Thank you on creating this!A very nice mask that does what as it advertised. Very effective, only complain is that. It is smaller than you think. But otherwise, it is a very good product!",0,1
19,5,Great product easy to apply and cleaned my pores. After peeling my face was soft and refreshed. Would definitely purchase again.,0,1
